Ano,Mês,Homicídio  Doloso,Total de vítimas de Homicídio Doloso,Latrocínio,Furto,Abigeato,Furto de Veículo,Roubos,Roubo de Veículo,Estelionato,Delitos Relacionados à Armas e Munições,Entorpecentes - Posse,Entorpecentes - Tráfico,Vítimas de Latrocínio,Vítimas de Lesão Corp. Seg. Morte
2014,Jan,190,196,11,14838,524,1521,4594,994,1644,664,1235,738,11,8
2014,Fev,229,237,20,14074,544,1461,4457,1074,1490,606,1124,715,20,3
2014,Mar,239,260,11,15056,592,1667,5383,1157,1464,727,1279,809,11,4
2014,Abr,211,221,10,14440,557,1609,5218,1253,1501,694,1253,836,12,2
2014,Mai,179,189,14,14453,603,1555,5324,1154,1595,645,1331,930,14,2
2014,Jun,182,198,8,13600,633,1575,5334,1119,1448,611,1101,745,8,3
2014,Jul,145,155,8,14086,681,1596,5473,1096,1653,620,1550,986,8,8
2014,Ago,168,177,9,13742,657,1574,5373,1155,1559,697,1416,949,9,4
2014,Set,191,202,12,14056,672,1689,5293,1241,1547,604,1178,876,12,5
2014,Out,210,231,14,14543,690,1576,5789,1295,1641,686,1191,853,15,5
2014,Nov,216,228,11,13359,604,1539,5147,1168,1579,644,1135,793,12,2
2014,Dez,217,233,17,14113,688,1594,4888,1048,1591,690,1166,712,17,5
2015,Jan,229,246,8,14941,541,1644,6114,1318,1607,648,1116,748,8,2
2015,Fev,211,223,12,13347,590,1611,5923,1191,1432,580,922,685,12,1
2015,Mar,239,258,8,14840,638,1661,6645,1479,1740,766,1191,923,8,3
2015,Abr,184,199,10,13794,721,1603,5876,1296,1514,642,1293,913,10,5
2015,Mai,197,213,14,14262,783,1670,6424,1366,1636,673,1376,995,14,6
2015,Jun,179,189,15,13437,807,1557,6778,1276,1527,643,1233,845,16,3
2015,Jul,150,157,11,13702,865,1650,6620,1369,1448,584,1194,844,11,3
2015,Ago,221,240,15,11431,778,1846,7125,1943,1329,555,586,526,15,1
2015,Set,245,265,12,11469,830,1883,7764,2126,1315,533,508,472,12,3
